pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
GJ 687 b,38.142,0.801,263.65,4.32,17.2,0.17,3413.0,0.0631,0,0.55292815,0.801,1,0.21334241477417057,8.649999999999977,M,False,False,False,True,0.6764
Kepler-23 b,7.1,446.107,1157.0,1.638,2.56,0.017,5828.0,-0.112,0,0.26262493,446.107,0,0.5825031430276817,902.0,G,True,False,False,False,0.2743
Kepler-1173 b,0.7698536,1462.098,1650.0,0.89,0.64,0.0,5252.0,0.0,0,0.29253952,1462.098,0,0.907841337704211,1395.0,K,False,False,True,False,0.2124
L 98-59 c,3.6906764,12.7,526.0,1.329,2.0,0.002,3415.0,-0.46,0,0.38854051,12.7,0,0.8520303262182697,271.0,M,False,False,False,True,0.585
Kepler-367 b,37.815724,5.985,401.0,1.3,2.24,0.0,4710.0,0.1974,0,0.4871605,5.985,0,1.019572143832499,146.0,K,False,False,True,False,0.6955
Kepler-1166 b,33.2406882,14.188,486.0,1.69,3.5,0.0,5446.0,-0.02,0,0.35944619,14.188,0,0.7251167386155118,231.0,G,True,False,False,False,0.5637
LHS 1815 b,3.814334,26.3712,617.0,1.088,1.58,0.0,3643.0,-0.12,0,0.34633968,26.3712,0,1.2267904904717075,362.0,M,False,False,False,True,0.5238
HD 219077 b,5478.68861,0.0755,146.68,12.5,3057.50927534,0.768,5362.0,-0.13,0,0.1792897,0.0755,0,1.56544474897408,108.32,G,True,False,False,False,0.2181
Kepler-603 d,6.2171292,497.4,1098.0,1.32,2.3,0.0,5808.0,0.03,0,0.28861339,497.4,0,1.0000139132370536,843.0,G,True,False,False,False,0.2855
Kepler-458 c,20.74028413,279.787,798.0,4.2,16.4,0.0,6117.21,0.1436,0,0.17421506,279.787,0,0.2213583846236907,543.0,F,False,False,False,False,0.2701
Kepler-969 c,1.682934604,564.581,1270.0,0.99,0.937,0.0,5214.0,0.22,0,0.29543459,564.581,0,0.9656817125442776,1015.0,K,False,False,True,False,0.2793
