pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
HD 77946 b,6.527363,413.1008,1128.86,2.89646124,10.9,0.211,6007.0,0.215,0,,413.1008,0,0.44856288290859536,873.8599999999999,F,False,False,False,False,0.2314
LHS 1478 b,1.9495378,23.3722,595.0,1.242,2.33,0.0526,3381.0,-0.13,0,0.35281162,23.3722,0,1.2161611714157938,340.0,M,False,False,False,True,0.5179
TOI-5143 c,5.2097118,158.1646,904.48,16.25302201,143.00455663,0.0175399999999999,5183.0,0.107,0,,158.1646,0,0.033307919425091245,649.48,K,False,False,True,False,0.183
TOI-815 c,34.976145,8.03,469.0,2.62,23.5,0.22,4869.0,-0.09,0,,8.03,0,1.3066641875262166,214.0,K,False,False,True,False,0.4671
TIC 67686059 b,3.52163529551,190.86258,948.6,2.59125922,7.23,0.0,5090.09,0.0767,0,,190.86258,0,0.4155331882194177,693.6,K,False,False,True,False,0.2889
WASP-171 b,3.8186244,1200.24,1642.0,10.98482,344.52772,0.0,5965.0,0.04,0,0.080229555,1200.24,0,0.25992337381333985,1387.0,G,True,False,False,False,0.0987
Kepler-80 c,9.52355,36.482,495.0,2.74,6.74,0.0079,4540.0,0.04,0,0.26569456,36.482,0,0.3276485181147823,240.0,K,False,False,True,False,0.4683
HATS-49 b,4.1480467,80.45,834.8,8.574885,112.19399,0.071,4405.0,0.208,0,0.11187635,80.45,0,0.17794454555439634,579.8,K,False,False,True,False,0.2186
EPIC 206317286 b,1.58252,106.7322,1011.928,0.96,0.84,0.022,4752.0,0.019,0,0.29588044,106.7322,0,0.9494357638888891,756.928,K,False,False,True,False,0.3652
Kepler-925 b,33.8678531,5.833,394.0,2.34,6.08,0.0,4673.0,0.12,0,0.41203109,5.833,0,0.4745216228889252,139.0,K,False,False,True,False,0.615
HD 73267 b,1257.99159,0.1577,165.89,13.0,1321.53051631,0.261,5387.0,0.03,0,0.2089638,0.1577,0,0.601515938238507,89.11000000000001,G,True,False,False,False,0.2725
Kepler-1631 b,4.09513932,446.918,1122.0,1.35,2.39,0.0,5679.0,0.04,0,0.28885976,446.918,0,0.9713966366915612,867.0,G,True,False,False,False,0.2834
Kepler-1893 b,4.179369926,478.98,1194.0,1.70557445,3.55,0.0,5633.0,0.16,0,0.27172515,478.98,0,0.7155109894763658,939.0,G,True,False,False,False,0.2585
KELT-12 b,5.031623,1749.0,1800.0,19.95202,301.9385,0.0,6279.0,0.19,0,0.047133609,1749.0,0,0.03801525244042336,1545.0,F,False,False,False,False,0.0882
HD 63433 b,7.1079475,145.5707,967.11,2.14,21.755,0.24,5553.0,-0.07,0,0.25617585,145.5707,0,2.2198200389700604,712.11,G,True,False,False,False,0.2576
HD 72892 b,39.44603,26.9314,634.46,12.8,1737.88572948,0.419,5688.0,0.25,0,0.10425891,26.9314,0,0.8286884925270078,379.46000000000004,G,True,False,False,False,0.1867
Kepler-1139 b,0.813166719,1717.276,1693.0,1.19,1.81,0.0,5550.0,0.05,0,0.29105328,1717.276,0,1.074082623657471,1438.0,G,True,False,False,False,0.2032
HD 149806 b,16521.52778,0.0037,69.13,12.3,4003.68444298,0.357,5352.05,0.2206,0,0.076304668,0.0037,0,2.1515156338308965,185.87,G,True,False,False,False,0.1111
Kepler-231 b,10.065275,14.879,488.0,1.73,35.4,0.0,3767.0,-0.1,0,0.3446446,14.879,0,6.836990125184517,233.0,M,False,False,False,True,0.4221
HD 110082 b,10.18271,198.3948,957.2,3.2,10.3,0.2,6200.0,0.08,0,0.21009459,198.3948,0,0.31433105468749994,702.2,F,False,False,False,False,0.2714
Kepler-1142 b,18.3027248,147.817,902.0,1.47,2.76,0.0,5685.0,0.02,0,0.28936992,147.817,0,0.8688745524587732,647.0,G,True,False,False,False,0.347
Kepler-82 e,5.902206,144.337,926.0,2.47,254.02,0.0,5428.0,0.2107,0,0.24009424,144.337,0,16.856874438715252,671.0,G,True,False,False,False,0.1892
HD 167042 b,417.67,7.6592,462.08,13.6,444.00628458,0.01,4919.0,-0.01,0,0.20723915,7.6592,0,0.17651125067582182,207.07999999999998,K,False,False,True,False,0.2885
K2-16 c,19.07863,13.1,485.0,2.54,6.99,0.0576,4742.0,-0.33,0,0.33103028,13.1,0,0.42655597122217864,230.0,K,False,False,True,False,0.5153
TRAPPIST-1 h,18.772866,0.144,171.7,0.755,0.326,0.00567,2566.0,0.052,0,0.46193647,0.144,0,0.7574897232054711,83.30000000000001,M,False,False,False,True,0.6827
HD 169830 b,225.67372,7.8465,345.0,13.2,804.42369812,0.294,6300.0,0.21,0,0.17787109,7.8465,0,0.3497543001120016,90.0,F,False,False,False,False,0.302
Kepler-853 b,7.16892463,499.301,1187.0,1.69,3.5,0.0,6350.0,0.07,0,0.27243341,499.301,0,0.7251167386155118,932.0,F,False,False,False,False,0.2589
Kepler-449 b,12.58242,167.41,917.0,2.056,4.88,0.03,5649.18,-0.1651,0,0.25918182,167.41,0,0.5615009443819949,662.0,G,True,False,False,False,0.3153
BD+05 4868 A b,1.271869,443.787,1820.0,2.3880000000000003,6.2,0.0434,4596.0,-0.05,0,,443.787,0,0.45529064008496833,1565.0,K,False,False,True,False,0.1869
TOI-5599 b,5.43691503941,833.218,1496.0,7.1888212,40.9,0.07472,6137.02,0.198,0,,833.218,0,0.11009060592215093,1241.0,F,False,False,False,False,0.1474
Kepler-906 b,41.6979976,21.987,537.0,2.11,5.1,0.0,6035.0,-0.09,0,0.30592437,21.987,0,0.5429037109171869,282.0,F,False,False,False,False,0.4925
Kepler-1912 b,6.059219837,201.8,976.0,1.35670508,2.41,0.0,5734.0,0.04,0,0.29135202,201.8,0,0.965074163582346,721.0,G,True,False,False,False,0.3286
HIP 57274 c,32.03,48.8832,437.32,14.2,130.0,0.05,4640.0,0.09,0,0.084516461,48.8832,0,0.04540234862856968,182.32,K,False,False,True,False,0.298
TOI-431 d,12.46103,28.3588,633.0,3.29,9.9,0.0,4850.0,0.2,0,0.24040697,28.3588,0,0.27800173141724804,378.0,K,False,False,True,False,0.4017
HATS-1 b,3.446459,489.9461,1359.0,14.594,589.55,0.12,5870.0,-0.06,0,0.063820883,489.9461,0,0.18966955180620435,1104.0,G,True,False,False,False,0.1092
KMT-2019-BLG-1042L b,71.1863631658,215.75554,770.672,9.05,60.38739733,0.0564,5558.6,-0.0096,0,,215.75554,0,0.08147053617350232,515.672,G,True,False,False,False,0.2265
Kepler-735 b,11.51516988,32.679,657.0,2.95,9.01,0.0,5107.0,0.07,0,0.248946,32.679,0,0.35096090642178596,402.0,K,False,False,True,False,0.3963
GJ 341 b,7.57686,13.8,629.0,0.88,4.0,0.0,3770.0,-0.16,0,,13.8,0,5.869646882043576,374.0,M,False,False,False,True,0.5001
HD 100655 b,157.57001,92.9931,907.14,13.5,511.7063,0.09,4891.0,0.07,0,0.077441259,92.9931,0,0.2079789869430473,652.14,K,False,False,True,False,0.1633
GJ 676 A c,13921.42302,0.001,47.96,12.3,4288.14086724,0.295,3734.0,0.23,0,0.073065544,0.001,0,2.3043779417013677,207.04,M,False,False,False,True,0.0795
HD 25463 b,7.0491423,461.4,1198.46,2.54535814,8.7,0.0,6353.0,-0.018,0,,461.4,0,0.5275608506492143,943.46,F,False,False,False,False,0.2291
TOI-5160 b,4.280773256,177.537,1016.0,2.39729851,6.33,0.0026,5622.14,0.204,0,,177.537,0,0.4594490561024836,761.0,G,True,False,False,False,0.2854
TOI-1260 c,7.493134,29.81,651.0,2.76,13.2,0.0,4227.0,-0.1,0,0.25464051,29.81,0,0.6278366802735998,396.0,K,False,False,True,False,0.3841
TOI-3235 b,2.59261842,13.8883,604.0,11.39953337,211.35589065,0.029,3388.8,0.264,0,,13.8883,0,0.14267672557955394,349.0,M,False,False,False,True,0.2708
Kepler-1730 b,13.81019974,113.75,833.0,4.48524519,18.4,0.0,5942.0,-0.04,0,0.17493327,113.75,0,0.20391973384192272,578.0,G,True,False,False,False,0.2805
Kepler-1583 b,9.32807355,124.307,788.0,0.6,0.156,0.0,5645.0,-0.07,0,0.28209893,124.307,0,0.7222222222222223,533.0,G,True,False,False,False,0.3439
Kepler-306 e,44.840975,6.185,390.0,2.27,5.77,0.0,4954.0,-0.13,0,0.41087765,6.185,0,0.49328537721755067,135.0,K,False,False,True,False,0.6196
HD 217958 b,2560.19774,0.1388,169.89,14.2,166.54208527,0.156,5930.64,0.2865,0,0.18776257,0.1388,0,0.058164629359673224,85.11000000000001,G,True,False,False,False,0.3583
KMT-2019-BLG-0298L b,10.0479062792,271.62424,924.966,13.4,575.26941667,0.0,5344.0,0.0166,0,,271.62424,0,0.23908751104274795,669.966,G,True,False,False,False,0.1448
Kepler-1839 b,5.056759834,286.32,1049.0,1.9493759,4.46,0.0,5926.0,-0.04,0,0.26003849,286.32,0,0.6020715155304778,794.0,G,True,False,False,False,0.2825
OGLE2-TR-L9 b,2.4855335,4135.4482,2034.0,18.046,1430.175,0.0742,6933.0,-0.05,0,0.051352773,4135.4482,0,0.2433583897270147,1779.0,F,False,False,False,False,0.0619
Kepler-694 b,6.365841612,206.438,914.0,2.8,8.25,0.0,5700.0,0.0,0,0.22407147,206.438,0,0.37581997084548113,659.0,G,True,False,False,False,0.2871
Kepler-150 d,12.56093,65.142,734.0,2.79,8.2,0.0,5560.0,0.12,0,0.2376116,65.142,0,0.3775732712013492,479.0,G,True,False,False,False,0.3577
Kepler-1994 b,4.61225043,268.27,1032.0,0.51,0.087,0.0,5495.0,0.16,0,,268.27,0,0.6558563448447429,777.0,G,True,False,False,False,0.2563
K2-396 b,0.673862,215.0212,930.4,1.579,3.12,0.0,5236.0,0.237,0,0.27572914,215.0212,0,0.7925163012836769,675.4,K,False,False,True,False,0.325
HD 10442 b,1032.3,0.5054,234.49,13.6,472.61321,0.132,4912.0,0.11,0,0.34822952,0.5054,1,0.18788371174053534,20.50999999999999,K,False,False,True,False,0.3879
Kepler-148 c,4.180043,187.197,957.0,3.6,12.6,0.0,5272.0,0.14,0,0.19519095,187.197,0,0.2700617283950617,702.0,K,False,False,True,False,0.2644
HATS-32 b,2.8126548,614.5934,1437.0,14.000041,292.4036,0.471,5700.0,0.39,0,0.065619825,614.5934,0,0.1065601425074931,1182.0,G,True,False,False,False,0.1141
Kepler-547 b,6.010384289,87.713,768.0,4.0,15.1,0.0,4828.0,0.01,0,0.18974141,87.713,0,0.2359375,513.0,K,False,False,True,False,0.3093
V2376 Ori b,73.4560671708,1366.70442,2100.0,87.20586985,6356.56814,0.1446599999999999,8537.55,-0.0289999999999999,0,,1366.70442,0,0.009584855097212686,1845.0,Hot,False,True,False,False,0.049
WASP-38 b,6.87188,501.5014,1250.0,13.78707,1093.3352,0.03,6180.0,-0.02,0,0.067297852,501.5014,0,0.41719336098708487,995.0,F,False,False,False,False,0.1058
Kepler-1488 c,6.158269882,760.6,1212.0,1.65156749,3.37,0.0,5710.0,0.0,0,0.27357248,760.6,0,0.7480677364806244,957.0,G,True,False,False,False,0.2477
Kepler-124 c,13.821375,30.716,560.0,1.75,3.71,0.0,4984.0,-0.46,0,0.30590097,30.716,0,0.6922448979591836,305.0,K,False,False,True,False,0.4901
Kepler-198 c,49.567416,11.354,465.0,2.47,6.66,0.0,5574.0,0.1142,0,0.33418069,11.354,0,0.4419604116283898,210.0,G,True,False,False,False,0.5353
Kepler-129 b,15.79,158.306,910.0,2.4,20.0,0.01,5770.0,0.29,0,0.24288605,158.306,0,1.4467592592592595,655.0,G,True,False,False,False,0.2659
LHS 1903 c,6.226185,16.2,559.0,2.046,4.55,0.089,3664.0,-0.11,0,,16.2,0,0.5312445754966668,304.0,M,False,False,False,True,0.5027
HAT-P-57 b,2.4653,2726.6328,2200.0,19.50366,448.1403,0.0,6330.0,-0.25,0,0.047788789,2726.6328,0,0.06040399295102709,1945.0,F,False,False,False,False,0.0711
Kepler-446 b,1.565409,16.213,648.0,1.5,2.86,0.0,3359.0,-0.3,0,0.35759814,16.213,0,0.8474074074074074,393.0,M,False,False,False,True,0.4978
HD 8326 b,158.991,1.1342,287.23,9.58,66.6,0.2,4914.0,0.0399,0,0.42419398,1.1342,1,0.07574913919633611,32.23000000000002,K,False,False,True,False,0.525
K2-216 b,2.1748,248.0,1103.0,1.75,8.0,0.0,4503.0,0.0,0,0.27273093,248.0,0,1.4927113702623906,848.0,K,False,False,True,False,0.2612
Kepler-167 d,21.80379,14.489,538.0,1.238,2.06,0.0,4884.0,0.02,0,0.37877448,14.489,0,1.085688621661544,283.0,K,False,False,True,False,0.5727
Kepler-1549 b,214.886545,1.184,286.0,2.57,7.13,0.0,5324.0,0.02,0,0.68319908,1.184,1,0.42003952613179013,31.0,G,True,False,False,False,0.7554
Kepler-1198 b,7.6847716,108.069,830.0,1.47,2.76,0.0,5517.0,0.03,0,0.29285253,108.069,0,0.8688745524587732,575.0,G,True,False,False,False,0.3731
HD 143811 AB b,117000.0,0.0011,1042.0,15.69257298,1938.7532827,0.19,6791.0,0.13,0,,0.0011,0,0.5016953491128392,787.0,F,False,False,False,False,0.1022
WASP-104 b,1.7554137,867.7365,1516.0,12.745,404.263,0.0,5475.0,0.32,0,0.071315402,867.7365,0,0.1952740236781265,1261.0,G,True,False,False,False,0.1033
51 Peg b,4.230785,492.82,1311.39,14.3,146.2018,0.013,5758.0,0.18,0,0.065490276,492.82,0,0.04999707613038337,1056.39,G,True,False,False,False,0.1347
TOI-1801 b,10.64387,10.7276,493.7,2.079,5.738,0.0,3863.0,-0.19,0,,10.7276,0,0.6385531857156415,238.7,M,False,False,False,True,0.5369
TOI-762 A b,3.4716826,17.0012,555.4,8.33948164,79.77493016,0.083,3266.0,0.357,0,,17.0012,0,0.1375464107384174,300.4,M,False,False,False,True,0.3227
TOI-5335 b,3.61365988443,200.83,1048.0,4.02422162,15.3,0.0,5528.92,0.0011,0,,200.83,0,0.23477170875674688,793.0,G,True,False,False,False,0.2421
K2-187 e,13.606629,52.0501,698.0,1.9,4.27,0.0,5438.0,0.0,0,0.28555671,52.0501,0,0.6225397288234437,443.0,G,True,False,False,False,0.4115
Kepler-1086 c,161.5163345,0.519,211.0,2.94,8.96,0.0,4350.0,0.06,0,0.59471893,0.519,1,0.3525867749108066,44.0,K,False,False,True,False,0.6913
K2-32 e,4.34934,210.7222,1066.0,1.212,2.1,0.043,5271.0,-0.06,0,0.2999967,210.7222,0,1.1795366381065124,811.0,K,False,False,True,False,0.3169
Kepler-1800 b,4.562029839,242.0,1533.0,0.99679734,0.961,0.0,5343.0,0.08,0,0.30049283,242.0,0,0.9702927280309813,1278.0,G,True,False,False,False,0.2696
55 Cnc B c,33.747,0.4613,230.04,2.16,5.3,0.0,3286.0,0.16,0,,0.4613,1,0.5259138596758623,24.960000000000008,M,False,False,False,True,0.7666
Kepler-78 b,0.35500745,4070.0,2223.0,1.201,1.68,0.0,5058.0,-0.18,0,0.29212418,4070.0,0,0.969795711973331,1968.0,K,False,False,True,False,0.1598
Kepler-1944 b,9.842579842,97.62,801.0,2.75971163,8.05,0.0,5585.0,0.48,0,0.23227423,97.62,0,0.3830052869963726,546.0,G,True,False,False,False,0.3306
TOI-1742 b,21.269084,58.618,694.09,2.36507598,9.7,0.3,5815.0,0.193,0,,58.618,0,0.7332236121277,439.09000000000003,G,True,False,False,False,0.3673
K2-105 b,8.26726,100.0,805.0,3.4,15.4,0.0,5373.0,0.22,0,0.20121453,100.0,0,0.39181762670466114,550.0,G,True,False,False,False,0.3003
BD+45 564 b,307.88,0.579,238.82,13.6,432.24663352,0.12,5004.0,-0.09,0,0.3622623,0.579,1,0.17183629271193773,16.180000000000007,K,False,False,True,False,0.3983
WASP-60 b,4.305,925.4935,1479.0,9.86392,174.8065,0.0,5900.0,-0.04,0,0.088901267,925.4935,0,0.18214151871515344,1224.0,G,True,False,False,False,0.1187
HD 11343 c,228.53731,23.9661,613.29,13.9,255.53403923,0.169,4672.0,-0.19,0,0.10620774,23.9661,0,0.09514902867085762,358.28999999999996,K,False,False,True,False,0.247
Kepler-1762 b,29.53910065,61.49,714.0,2.76022913,8.05,0.0,6572.0,0.07,0,0.24367889,61.49,0,0.3827899047922733,459.0,F,False,False,False,False,0.3657
HD 102329 c,1123.0,1.0498999999999998,175.35399999999998,13.5,483.1016,0.209,4830.0,0.3,0,0.18630394,1.0498999999999998,1,0.19635283239343596,79.64600000000002,K,False,False,True,False,0.3568
HD 7449 b,1270.55195,0.2125,183.23,12.6,2597.92939882,0.752,6024.0,-0.105,0,0.29649778,0.2125,0,1.29872053994849,71.77000000000001,F,False,False,False,False,0.2657
HD 197037 b,1035.7,0.4042,216.67,13.9,251.0,0.22,6150.0,-0.2,0,0.32152381,0.4042,1,0.0934607626770588,38.33000000000001,F,False,False,False,False,0.404
K2-270 b,1.543069,497.0717,1203.0,1.38,2.48,0.0037199999999999,4877.0,0.26,0,0.28705548,497.0717,0,0.9436575558051684,948.0,K,False,False,True,False,0.2685
Kepler-1529 b,5.33905686,115.765,817.0,2.1,5.06,0.0,5048.0,-0.03,0,0.26192491,115.765,0,0.5463772810711586,562.0,K,False,False,True,False,0.345
Kepler-98 b,1.54168,1107.389,1592.0,1.99,3.55,0.0,5539.0,0.18,0,0.25606713,1107.389,0,0.4504733713769727,1337.0,G,True,False,False,False,0.2009
HD 140901 b,9.02378,109.3426,904.37,4.07,15.57359194,0.472,5610.0,0.0859,0,0.18721457,109.3426,0,0.2309965871265969,649.37,G,True,False,False,False,0.2765
Pr0201 b,4.4264,487.9693,1303.39,14.2,171.6282,0.0,6174.0,0.19,0,0.065508805,487.9693,0,0.05994094900687602,1048.39,F,False,False,False,False,0.1325
WASP-6 b,3.3610026,288.0,1167.0,12.5428494,148.42586607,0.054,5438.0,-0.15,0,0.080050713,288.0,0,0.07521785914345303,912.0,G,True,False,False,False,0.1522
WASP-189 b,2.724033,8083.7169,3353.0,18.14733975,632.47852993,0.0,8000.0,0.29,0,0.050931588,8083.7169,0,0.10582953244049109,3098.0,Hot,False,True,False,False,0.0472
Kepler-362 b,10.327186,207.336,838.0,0.88,0.615,0.0,5788.0,-0.12,0,0.29816515,207.336,0,0.9024582081141999,583.0,G,True,False,False,False,0.3719
TOI-2295 b,30.033302,42.0912,747.0,16.47720163,278.09985612,0.334,5730.0,0.316,0,,42.0912,0,0.06216563808191464,492.0,G,True,False,False,False,0.208
HD 99283 b,310.4,55.3069,759.06,13.8,308.29355479,0.2,4886.0,-0.16,0,0.08363597,55.3069,0,0.11730787999339436,504.05999999999995,K,False,False,True,False,0.201
HD 39194 b,5.63692,112.2269,915.16,1.99,4.62,0.101,5205.0,-0.61,0,0.27383596,112.2269,0,0.5862498523272153,660.16,K,False,False,True,False,0.3294
KMT-2018-BLG-1990L b,328.1718436048,358.74668,889.686,12.9,111.0,0.148,5029.2,0.0286,0,,358.74668,0,0.05170753658308212,634.686,K,False,False,True,False,0.1805
TIC 24750448 b,3.59159193029,81.23920000000001,660.6,2.43722231,6.51,0.0131,4545.43,-0.0247999999999999,0,,81.23920000000001,0,0.4496716974623195,405.6,K,False,False,True,False,0.3835
Kepler-656 c,5.25449393,213.25,975.0,1.41,2.57,0.0,5550.0,0.46,0,,213.25,0,0.9168024925612358,720.0,G,True,False,False,False,0.3246
TOI-1295 b,3.1968838,1800.0,2360.0,15.69257298,451.31633794,0.024,6280.0,0.26,0,,1800.0,0,0.11678809766233306,2105.0,F,False,False,False,False,0.0715
IRAS 04125+2902 b,8.834978,41.4199,854.0,10.73820351,80.8,0.04192,4080.0,-0.1125999999999999,0,,41.4199,0,0.0652554020027563,599.0,K,False,False,True,False,0.2355
NGTS-15 b,3.27623,425.0,1146.0,12.32987877,238.68913366,0.0,5600.0,0.15,0,0.074522475,425.0,0,0.12733747342995932,891.0,G,True,False,False,False,0.1396
HD 62509 b,589.64,15.2164,549.6,13.3,731.0,0.02,4892.63,0.1027,0,0.13135226,15.2164,0,0.3107151677033048,294.6,K,False,False,True,False,0.2357
HD 81817 b,1021.20159,174.402,1016.37,12.0,7668.5638041,0.097,4140.0,-0.17,0,0.079863963,174.402,0,4.437826275520833,761.37,K,False,False,True,False,0.1014
Kepler-1941 b,31.33510017,46.53,666.0,2.64976949,7.51,0.0,6404.0,-0.06,0,0.24376578,46.53,0,0.4036599399995843,411.0,F,False,False,False,False,0.3924
Kepler-1691 b,3.8482,641.53,1283.0,1.83470985,4.02,0.0,6000.0,0.16,0,0.26490655,641.53,0,0.6509143939631956,1028.0,F,False,False,False,False,0.2376
TOI-2184 b,6.90683,1429.0,1676.05,11.39953337,206.58846455,0.08,5966.0,0.14,0,0.077863513,1429.0,0,0.13945845357729922,1421.05,G,True,False,False,False,0.1025
K2-254 b,4.09639,74.9905,791.0,1.63,3.29,0.0,4629.0,-0.14,0,0.29117809,74.9905,0,0.7596841838140166,536.0,K,False,False,True,False,0.3866
WASP-47 c,589.57,0.549,247.0,13.6,447.0,0.264,5565.0,0.43,0,0.35998949,0.549,1,0.1777013789945044,8.0,G,True,False,False,False,0.4001
OGLE-2016-BLG-1598L b,1149.653154094,238.86178,800.5840000000001,13.6,120.77479466,0.0064,5563.4,0.0486,0,,238.86178,0,0.04801308178715907,545.5840000000001,G,True,False,False,False,0.1952
Kepler-180 c,41.885775,16.423,540.0,3.01,9.32,0.0,5731.0,0.03,0,0.29143287,16.423,0,0.34175621846890947,285.0,G,True,False,False,False,0.4603
Kepler-1316 b,87.9732136,10.714,446.0,3.54,12.3,0.0,5884.0,0.03,0,0.28246208,10.714,0,0.27726517533167677,191.0,G,True,False,False,False,0.4989
EPIC 212297394 b,2.289363,297.18106,1149.0,1.48,2.79,0.0,5171.0,-0.03,0,0.28429885,297.18106,0,0.8606351055218843,894.0,K,False,False,True,False,0.2843
WASP-165 b,3.465509,1373.5324,1624.0,14.12334,209.13214,0.0,5599.0,0.33,0,0.064706113,1373.5324,0,0.07423497022336101,1369.0,G,True,False,False,False,0.1032
Kepler-408 b,2.46502,1503.581,1561.0,0.82,5.0,0.0,6104.0,-0.2,0,0.29031741,1503.581,0,9.068353622263173,1306.0,F,False,False,False,False,0.1947
OGLE-2018-BLG-1212L b,476.3255361190001,40.78958,445.166,9.32,63.5656814,0.2076,5230.88,0.0199999999999999,0,,40.78958,0,0.0785190379444393,190.166,K,False,False,True,False,0.3398
Kepler-1542 b,3.95116882,518.437,1160.0,0.76,0.363,0.0,5564.0,0.06,0,0.28922043,518.437,0,0.8269244787869952,905.0,G,True,False,False,False,0.2709
Kepler-1311 d,197.5110016,6.0,391.0,9.65837605,67.5,0.0,5616.0,0.04,0,0.22471924,6.0,0,0.0749189083715724,136.0,G,True,False,False,False,0.4168
Kepler-1866 b,11.66009998,114.36,834.0,2.08215108,4.99,0.0,5791.0,0.16,0,0.26023671,114.36,0,0.5527946484174074,579.0,G,True,False,False,False,0.3423
K2-165 d,14.101361,37.0819,629.38,2.64809498,7.5,0.0,5185.0,-0.05,0,0.25792783,37.0819,0,0.4038876646462995,374.38,K,False,False,True,False,0.4119
TOI-2018 b,7.435583,26.0758,576.34,2.268,9.2,0.0,4174.0,-0.58,0,,26.0758,0,0.788603457227682,321.34000000000003,K,False,False,True,False,0.4361
HD 155918 b,1.87567,1153.7389,1622.13,2.67,7.62788177,0.194,5771.84,-0.6616,0,0.22531065,1153.7389,0,0.4007468975651832,1367.13,G,True,False,False,False,0.1788
DMPP-2 d,16.491,61.9324,1105.06,11.6,91.79,0.1,6500.0,-0.09256,0,,61.9324,0,0.058805967854360576,850.06,F,False,False,False,False,0.1927
Kepler-300 c,40.714955,43.248,516.0,2.25,5.69,0.0,5986.0,0.04,0,0.27382635,43.248,0,0.49953360768175586,261.0,G,True,False,False,False,0.4663
Kepler-1392 b,15.1410397,61.42,714.0,1.96,4.5,0.0,5479.0,-0.11,0,0.28807979,61.42,0,0.5976463888345843,459.0,G,True,False,False,False,0.398
TOI-669 b,3.945152,388.2,1124.85,2.58606487,10.0,0.0,5597.0,0.001,0,,388.2,0,0.5782048841155758,869.8499999999999,G,True,False,False,False,0.2371
Kepler-347 b,12.79836,180.549,908.0,1.97,4.54,0.0,6088.0,-0.14,0,0.26334386,180.549,0,0.5938232183047185,653.0,F,False,False,False,False,0.3181
WASP-184 b,5.1817,669.018,1480.0,14.90797,181.1631,0.0,6000.0,0.12,0,0.062068945,669.018,0,0.05467820049962213,1225.0,F,False,False,False,False,0.1182
TOI-4559 b,3.965991,15.77,554.16,1.415,2.59,0.1299999999999999,3558.0,-0.09,0,,15.77,0,0.9141773240167838,299.15999999999997,M,False,False,False,True,0.5457
OGLE-2019-BLG-0304L b,84.9117146694,614.9551,1097.146,14.2,162.09248757,0.0748,5446.8,0.026,0,,614.9551,0,0.05661061254404029,842.146,G,True,False,False,False,0.1446
WASP-25 b,3.7648337,341.0,1217.0,13.80946422,179.25522155,0.0,5697.0,-0.2,0,0.077094754,341.0,0,0.06806773944173845,962.0,G,True,False,False,False,0.1418
Kepler-105 c,7.12592,236.167,997.0,1.44,5.6,0.02,5933.0,-0.09,0,0.29214259,236.167,0,1.875428669410151,742.0,G,True,False,False,False,0.2922
TOI-199 b,104.854,8.5419,476.27,9.07927437,54.03082919,0.09,5255.0,0.22,0,,8.5419,0,0.07219185666035866,221.26999999999998,K,False,False,True,False,0.3843
HD 34445 d,117.87,8.6625,476.32,6.07,30.7,0.027,5836.0,0.14,0,0.24388072,8.6625,0,0.1372689470192524,221.32,G,True,False,False,False,0.4243
TOI-700 c,16.051137,2.64,356.0,2.6,7.27,0.068,3459.0,-0.07,0,0.54504891,2.64,0,0.4136322257624032,101.0,M,False,False,False,True,0.6608
TOI-6954 b,4.02074127419,124.569,930.0,3.63524486,12.8,0.0202,5170.87,0.03,0,,124.569,0,0.26644585133454746,675.0,K,False,False,True,False,0.2777
LHS 1903 e,29.31773,2.05,333.0,1.732,5.79,0.014,3664.0,-0.11,0,,2.05,0,1.1143840838970482,78.0,M,False,False,False,True,0.7224
OGLE-2017-BLG-1275L b,677.9491966048,358.84462,901.922,12.8,1875.1876013,0.12,5728.6,0.0386,0,,358.84462,0,0.8941591269016265,646.922,G,True,False,False,False,0.1225
Kepler-504 b,9.549275422,5.991,374.0,1.59,3.15,0.0,3519.0,-0.31,0,0.46065912,5.991,0,0.7836446641634816,119.0,M,False,False,False,True,0.6869
HD 199509 b,99.62167,4.5393,410.73,7.43,43.22466335,0.373,5796.02,-0.3075,0,0.28690083,4.5393,0,0.10538169465407263,155.73000000000002,G,True,False,False,False,0.4495
Kepler-256 d,5.839172,221.1,1097.0,2.48,6.71,0.0,5551.0,0.26,0,0.23779524,221.1,0,0.4399136903762882,842.0,G,True,False,False,False,0.2657
Kepler-214 c,28.7798,87.244,619.0,2.13,5.18,0.0,6169.0,-0.02,0,0.2634657,87.244,0,0.5360322869424294,364.0,F,False,False,False,False,0.407
Kepler-197 d,15.677563,109.091,810.0,1.22,1.98,0.03,6004.0,-0.441,0,0.30122137,109.091,0,1.0903996369740199,555.0,F,False,False,False,False,0.3928
HIP 5158 b,345.72,0.1389,219.65,13.6,451.0,0.52,4962.0,0.1,0,0.20521397,0.1389,0,0.17929154793405253,35.349999999999994,K,False,False,True,False,0.3483
HD 33142 b,330.0,8.6781,477.5,13.7,400.46379282,0.049,5025.4,0.06,0,0.17069859,8.6781,0,0.1557404964701463,222.5,K,False,False,True,False,0.2853
TOI-2421 b,4.3474032,923.6,1534.0,10.36830715,105.83685953,0.0,5607.0,0.19,0,0.084902536,923.6,0,0.09495402570826177,1279.0,G,True,False,False,False,0.1238
